CompID,RespoID,AVC,IV,StartDate,Category,TypeOfService,Rating
1,59,"$116,441.91 ","$8,199.92 ",2015-04-19,Diamond,Cloud,3
18,9,"$74,492.63 ","$6,928.79 ",2016-01-14,Premium,On-premises,4
15,44,"$89,556.58 ","$8,159.97 ",2017-02-23,Gold,On-premises,5
8,28,"$49,941.77 ","$7,950.70 ",2017-12-11,Premium,Cloud,1
6,44,"$69,305.23 ","$8,753.75 ",2018-01-02,Silver,On-premises,3
5,48,"$115,750.32 ","$7,598.88 ",2016-07-28,Premium,On-premises,4
5,21,"$33,307.87 ","$7,950.85 ",2015-05-15,Gold,On-premises,1
5,43,"$60,177.26 ","$8,940.73 ",2015-10-10,Silver,Cloud,3
1,9,"$119,332.35 ","$6,244.41 ",2017-12-01,Gold,Cloud,5
11,5,"$57,117.89 ","$8,150.63 ",2016-10-15,Gold,Cloud,1
9,49,"$109,492.59 ","$6,244.64 ",2015-08-25,Gold,On-premises,5
11,25,"$103,483.85 ","$6,778.88 ",2016-07-09,Silver,On-premises,5
18,43,"$88,193.16 ","$8,938.41 ",2018-06-09,Gold,Cloud,3
11,12,"$88,694.57 ","$8,852.26 ",2016-06-30,Diamond,On-premises,4
12,18,"$38,107.68 ","$9,258.80 ",2017-05-29,Gold,Cloud,3
14,26,"$35,456.82 ","$6,713.38 ",2016-02-14,Silver,On-premises,3
3,17,"$85,183.98 ","$7,781.75 ",2016-04-14,Premium,Cloud,4
3,14,"$35,646.64 ","$6,936.12 ",2018-04-27,Premium,Cloud,2
17,35,"$44,987.84 ","$5,715.34 ",2016-07-01,Diamond,On-premises,3
14,53,"$65,629.62 ","$5,373.73 ",2017-12-26,Gold,On-premises,5
8,28,"$82,101.30 ","$8,622.19 ",2018-04-22,Premium,On-premises,5
9,38,"$110,911.35 ","$7,121.67 ",2018-05-02,Diamond,On-premises,5
3,11,"$30,348.42 ","$9,459.04 ",2018-03-07,Diamond,Cloud,5
4,6,"$91,362.11 ","$6,351.65 ",2016-01-24,Gold,Cloud,2
10,33,"$112,513.78 ","$8,322.88 ",2016-08-04,Gold,Cloud,3
5,56,"$90,106.76 ","$8,395.36 ",2016-03-28,Premium,On-premises,4
13,16,"$88,632.31 ","$8,734.74 ",2017-12-19,Diamond,On-premises,1
7,21,"$75,591.49 ","$5,562.35 ",2018-07-24,Premium,Cloud,1
11,49,"$34,282.44 ","$6,533.37 ",2017-10-24,Premium,Cloud,4
10,47,"$90,215.03 ","$9,224.66 ",2015-09-29,Gold,Cloud,5
8,43,"$30,044.48 ","$5,867.44 ",2015-10-08,Silver,Cloud,4
1,31,"$104,303.94 ","$6,773.53 ",2015-11-12,Premium,On-premises,4
19,33,"$89,586.60 ","$7,094.34 ",2017-10-21,Diamond,On-premises,2
14,53,"$114,138.96 ","$11,797.98 ",2017-09-13,Diamond,Cloud,2
18,46,"$37,040.15 ","$11,460.14 ",2017-01-13,Gold,Cloud,1
13,30,"$82,887.05 ","$8,637.02 ",2015-02-10,Silver,Cloud,1
20,43,"$80,804.61 ","$10,396.87 ",2018-02-10,Diamond,Cloud,1
3,19,"$53,162.48 ","$8,707.14 ",2015-02-02,Silver,On-premises,4
1,39,"$115,905.88 ","$7,168.79 ",2015-04-29,Premium,Cloud,1
5,34,"$113,686.93 ","$6,802.69 ",2015-01-29,Diamond,On-premises,4
10,31,"$34,520.27 ","$8,647.96 ",2018-03-08,Premium,On-premises,2
20,20,"$83,806.39 ","$5,915.96 ",2016-02-21,Gold,Cloud,1
14,32,"$34,871.86 ","$8,907.67 ",2017-10-18,Diamond,Cloud,1
10,28,"$112,731.82 ","$5,386.26 ",2017-04-04,Silver,On-premises,3
14,45,"$73,360.85 ","$5,581.84 ",2016-02-09,Diamond,Cloud,2
15,2,"$111,184.99 ","$11,141.66 ",2017-10-05,Diamond,On-premises,3
16,35,"$48,583.76 ","$11,388.57 ",2016-10-28,Silver,Cloud,4
3,33,"$111,130.00 ","$11,503.40 ",2016-11-24,Silver,On-premises,4
2,32,"$113,623.91 ","$8,428.68 ",2015-05-09,Diamond,Cloud,2
17,40,"$102,958.94 ","$9,618.10 ",2016-10-15,Diamond,Cloud,4
2,56,"$81,410.31 ","$11,565.04 ",2017-06-17,Diamond,Cloud,1
19,8,"$85,899.07 ","$10,206.51 ",2017-07-29,Diamond,On-premises,5
9,11,"$84,998.85 ","$7,606.29 ",2015-09-22,Diamond,On-premises,4
2,22,"$91,218.69 ","$7,787.13 ",2016-07-02,Silver,Cloud,3
5,28,"$68,805.10 ","$5,689.65 ",2016-12-16,Diamond,On-premises,5
4,18,"$54,506.43 ","$9,834.70 ",2016-05-15,Gold,On-premises,5
12,24,"$50,432.06 ","$8,424.72 ",2016-07-12,Gold,On-premises,5
2,60,"$70,159.93 ","$11,214.37 ",2016-09-14,Premium,Cloud,3
18,45,"$45,126.80 ","$5,658.78 ",2015-05-17,Premium,Cloud,3
13,33,"$65,432.93 ","$9,537.81 ",2018-02-05,Silver,Cloud,2
4,58,"$44,555.61 ","$10,461.51 ",2015-03-26,Silver,On-premises,1
6,29,"$107,389.24 ","$5,475.90 ",2017-07-14,Premium,Cloud,5
2,54,"$61,416.40 ","$11,807.91 ",2015-09-20,Gold,Cloud,4
